subject,body,label
"Product Not Working - Need Immediate Help","Dear Support Team,\n\nI purchased your software last week and have been experiencing constant crashes. The application freezes every time I try to save my work. I've already tried reinstalling twice but the issue persists.\n\nThis is affecting my productivity and I need a solution as soon as possible.\n\nBest regards,\nJohn Smith",Customer Support / Complaints
"Urgent: System Error Code 404","Hello Support,\n\nI'm getting error code 404 when trying to access the dashboard. This started happening after the latest update. I've cleared my cache and cookies but the problem remains.\n\nPlease advise on how to resolve this issue.\n\nThanks,\nSarah Johnson",Customer Support / Complaints
"Billing Dispute - Incorrect Charges","Dear Customer Service,\n\nI noticed an unexpected charge of $299 on my last statement. This doesn't match my subscription plan. I've attached my receipt and billing statement for your review.\n\nPlease investigate and correct this error.\n\nRegards,\nMichael Brown",Customer Support / Complaints
"Feature Request: Dark Mode","Hi Support Team,\n\nI've been using your app for months and would love to see a dark mode option. Many of us work late hours and this would be a great addition.\n\nCould you let me know if this is in your roadmap?\n\nBest,\nEmily Chen",Customer Support / Complaints
"Software Installation Issues","Dear Support,\n\nI'm unable to complete the installation process. The setup wizard keeps failing at 75%. I'm running Windows 11 with all updates installed.\n\nPlease provide troubleshooting steps.\n\nThanks,\nDavid Wilson",Customer Support / Complaints
"Pricing Inquiry for Enterprise Plan","Hello Sales Team,\n\nI'm interested in your enterprise solution for our company of 200 employees. Could you please provide pricing details and any volume discounts available?\n\nAlso, what's included in the enterprise support package?\n\nBest regards,\nRobert Anderson",Sales Inquiry / Pricing Request
"Quote Request: Annual Subscription","Hi there,\n\nI'd like to get a quote for an annual subscription to your premium service. We're a small business with 15 users.\n\nPlease include any early-bird discounts if available.\n\nThanks,\nLisa Martinez",Sales Inquiry / Pricing Request
"Bulk License Pricing","Dear Sales Department,\n\nWe're considering purchasing 50 licenses for your software. Could you provide pricing information for bulk purchases?\n\nAlso, what are the payment terms and available support options?\n\nRegards,\nJames Thompson",Sales Inquiry / Pricing Request
"Custom Solution Pricing","Hello,\n\nI'm interested in your platform but need some custom features. Could you provide pricing for a tailored solution?\n\nWe need integration with our existing CRM and custom reporting capabilities.\n\nBest,\nPatricia Lee",Sales Inquiry / Pricing Request
"Educational License Inquiry","Hi Sales Team,\n\nI'm from a university and interested in your educational licensing program. We need licenses for our computer science department.\n\nPlease provide pricing and any special terms for educational institutions.\n\nRegards,\nDr. William Clark",Sales Inquiry / Pricing Request
"Partnership Opportunity: Integration","Dear Business Development Team,\n\nI'm reaching out from TechCorp to discuss a potential integration partnership. Our platform has 100,000+ active users who could benefit from your services.\n\nWould you be interested in exploring a strategic partnership?\n\nBest regards,\nJennifer White",Partnership / Collaboration Proposal
"Joint Marketing Initiative","Hello,\n\nI'm the Marketing Director at Innovate Solutions. We're interested in co-hosting a webinar series with your company.\n\nOur audience aligns perfectly with your target market. Let's discuss potential collaboration.\n\nRegards,\nThomas Garcia",Partnership / Collaboration Proposal
"API Integration Partnership","Hi there,\n\nI'm from DataFlow Systems. We're looking to integrate your API into our platform. This could benefit both our user bases.\n\nWould you be open to discussing a technical partnership?\n\nBest,\nRachel Kim",Partnership / Collaboration Proposal
"Research Collaboration","Dear Team,\n\nI'm a professor at Stanford University. Our AI research lab is interested in collaborating on a joint research project.\n\nYour technology could be valuable for our work. Let's discuss possibilities.\n\nRegards,\nDr. Maria Rodriguez",Partnership / Collaboration Proposal
"Strategic Alliance Proposal","Hello Business Development,\n\nI'm from Global Solutions Inc. We're expanding into your market and see potential for a strategic alliance.\n\nWould you be interested in exploring a joint venture?\n\nBest regards,\nDaniel Park",Partnership / Collaboration Proposal
"URGENT: Your Account Needs Verification","IMPORTANT: Your account will be suspended unless you verify your information immediately. Click here to update your details and prevent account closure. Limited time offer!",Spam / Advertisements
